ID,Session,Hyena,Time,Order,Behavior,Target,Distance,Leader Y/N?,Food,Notes,IDold
10541,t89945,twst,7:31,1,brt soc snf,,,FALSE,,,12422
10525,t89945,buar,7:21,1,brt parallel wlk,,,FALSE,,,12406
4698,t32018,mali,6:28,1,whoop,,,FALSE,,scan--response to oke,5808
4697,t32018,oke,6:28,1,whoop,,,FALSE,,scan,5807
4696,t32018,unids,6:28,1,mob,lioness,,FALSE,,scan,5800
10529,t89945,twst,7:26,1,brt soc snf,,,FALSE,,,12410
10530,t89945,amaz,7:26,1,brt soc snf,,,FALSE,,,12411
10533,t89945,lust,7:27,2,brt soc snf,,,FALSE,,,12414
10534,t89945,twst,7:27,2,brt soc snf,,,FALSE,,,12415
10535,t89945,amaz,7:27,2,brt soc snf,,,FALSE,,,12416
10536,t89945,byte,7:28,1,brt soc snf,,,FALSE,,,12417
10537,t89945,lust,7:28,1,brt soc snf,,,FALSE,,,12418
10538,t89945,twst,7:28,1,brt soc snf,,,FALSE,,,12419
4636,t30255,chw,19:08,3,hyena on hyena mob,Fig Tree hyenas,,FALSE,,Fig T hyenas all bo,5737
10540,t89945,byte,7:31,1,brt soc snf,,,FALSE,,,12421
4699,t32018,jj,6:28,1,gig steal fd,lioness,,FALSE,subadult topi carcass,scan,5809
4695,t32018,lim,6:28,1,soc snf,,,FALSE,,scan--where topi carcass was before moved by lion,5799
4694,t32018,vgs,6:28,1,soc snf,,,FALSE,,scan--where topi carcass was before moved by lion,5798
4693,t32018,mali,6:28,1,soc snf,,,FALSE,,scan--where topi carcass was before moved by lion,5797
4692,t32018,oke,6:28,1,soc snf,,,FALSE,,scan--where topi carcass was before moved by lion,5796
4691,t32018,bail,6:28,1,soc snf,,,FALSE,,scan--where topi carcass was before moved by lion,5795
4647,t30255,whh,19:08,3,hyena on hyena mob,Fig Tree hyenas,,FALSE,,Fig T hyenas all bo,5748
4645,t30255,nick,19:08,3,hyena on hyena mob,Fig Tree hyenas,,FALSE,,Fig T hyenas all bo,5746
4644,t30255,mrph,19:08,3,hyena on hyena mob,Fig Tree hyenas,,FALSE,,Fig T hyenas all bo,5745
4642,t30255,ldv,19:08,3,hyena on hyena mob,Fig Tree hyenas,,FALSE,,Fig T hyenas all bo,5743
4641,t30255,hml,19:08,3,hyena on hyena mob,Fig Tree hyenas,,FALSE,,Fig T hyenas all bo,5742
4640,t30255,hg,19:08,3,hyena on hyena mob,Fig Tree hyenas,,FALSE,,Fig T hyenas all bo,5741
4639,t30255,ger,19:08,3,hyena on hyena mob,Fig Tree hyenas,,FALSE,,Fig T hyenas all bo,5740
4729,t32018,oke,6:38,1,runs off with fd,,,FALSE,subadult topi carcass,,5840
10539,t89945,amaz,7:28,1,brt soc snf,,,FALSE,,,12420
10495,t89945,amaz,7:14,1,app,,,FALSE,,,12376
10230,t19357,zig,7:00,1,fd,,,FALSE,gnu carcass,,12107
4727,t32018,mali,6:35,3,bo,,,FALSE,,response from lioness running twd,5838
4726,t32018,mali,6:35,2,fight over fd,,,FALSE,subadult topi carcass,,5837
4725,t32018,oke,6:35,2,fight over fd,,,FALSE,subadult topi carcass,,5836
4724,t32018,jup,6:35,2,fight over fd,,,FALSE,subadult topi carcass,,5835
4723,t32018,oke,6:35,1,steals fd,zim,,FALSE,subadult topi carcass,,5834
4722,t32018,lim,6:28,1,walk w/fd,,,FALSE,subadult topi carcass,scan,5833
4721,t32018,bail,6:28,1,fd,,,FALSE,subadult topi carcass piece,scan,5832
4720,t32018,mali,6:28,1,lv w fd,,,FALSE,subadult topi carcass,scan,5831
4719,t32018,unid,6:28,1,alarm rumble,,,FALSE,,scan,5830
4718,t32018,lim,6:28,1,fd,,,FALSE,subadult topi carcass,scan,5829
4717,t32018,jup,6:28,1,fd,,,FALSE,subadult topi carcass,scan,5828
4716,t32018,vgs,6:28,1,fd,,,FALSE,subadult topi carcass,scan,5827
10524,t89945,amaz,7:21,1,brt parallel wlk,,,FALSE,,,12405
4706,t32018,pisa,6:28,1,gig steal fd,lioness,,FALSE,subadult topi carcass,scan,5816
4635,t30255,chob,19:08,3,hyena on hyena mob,Fig Tree hyenas,,FALSE,,Fig T hyenas all bo,5736
4700,t32018,vgs,6:28,1,gig steal fd,lioness,,FALSE,subadult topi carcass,scan,5810
4701,t32018,mali,6:28,1,gig steal fd,lioness,,FALSE,subadult topi carcass,scan,5811
4702,t32018,bail,6:28,1,gig steal fd,lioness,,FALSE,subadult topi carcass,scan,5812
4703,t32018,oke,6:28,1,gig steal fd,lioness,,FALSE,subadult topi carcass,scan,5813
4715,t32018,pisa,6:28,1,fd,,,FALSE,subadult topi carcass,scan,5826
4705,t32018,jup,6:28,1,gig steal fd,lioness,,FALSE,subadult topi carcass,scan,5815
10493,t89945,tnks,6:52,1,fd,,,FALSE,leg bone scrap,,12374
4710,t32018,mali,6:28,1,fd,,,FALSE,subadult topi carcass,scan,5821
4711,t32018,vgs,6:28,1,fd,,,FALSE,subadult topi carcass,scan,5822
4712,t32018,pisa,6:28,1,fd,,,FALSE,subadult topi carcass,scan,5823
4713,t32018,oke,6:28,1,fd,,,FALSE,subadult topi carcass,scan,5824
4714,t32018,mali,6:28,1,fd,,,FALSE,subadult topi carcass,scan,5825
10523,t89945,amaz,7:20,1,alarm rumble,,,FALSE,,,12404
4704,t32018,lim,6:28,1,gig steal fd,lioness,,FALSE,subadult topi carcass,scan,5814
4568,t11175,jone,7:10,2,look for fd,,,FALSE,,response to lion getting up from carcass,5657
10631,t89945,tnks,7:39,4,bo,,,FALSE,,in response to lunge,12512
