Session,Hyena,BodyCondition,TimeFirstSeen,LastSeenOld-Confirmed,TimeLastMention,TimeNextScan,Bloody?,AddedHyena
S10894,ams,normal,7:48,8:18,,,FALSE,
S10894,angi,normal,6:51,8:31,,,FALSE,
S10894,arro,normal,6:51,8:31,,,FALSE,
S10894,digs,normal,6:51,8:31,,,FALSE,
S10894,drpy,normal,6:51,,8:15,8:18,FALSE,
S10894,ema,fat,6:51,7:26,,,FALSE,
S10894,fuzz,normal,6:51,8:18,,,FALSE,
S10894,gobe,normal,6:51,8:18,,,FALSE,
S10894,hkr,normal,6:51,8:18,,,FALSE,
S10894,hndy,normal,6:51,8:31,,,FALSE,
S10894,hucn,normal,6:51,8:31,,,FALSE,
S10894,ink,fat,6:51,8:31,,,FALSE,
S10894,lcs,normal,6:51,8:31,,,FALSE,
S10894,logc,normal,6:51,8:31,,,FALSE,
S10894,ordg,normal,6:51,8:18,,,FALSE,
S10894,pnda,normal,6:51,8:31,,,FALSE,
S10894,pol,normal,6:51,8:31,,,FALSE,
S10894,ratc,normal,6:51,8:18,,,FALSE,
S10894,sau,fat,6:51,8:31,,,FALSE,
S10894,shrm,normal,6:51,8:31,,,FALSE,
S10894,spcd,normal,6:51,8:31,,,FALSE,
S10894,tero,normal,6:51,,8:01,8:18,FALSE,
S10894,trni,normal,6:51,8:31,,,FALSE,
S10894,trot,normal,6:51,8:31,,,TRUE,
S10894,wafl,normal,6:51,8:31,,,FALSE,
S10894,wf,normal,7:52,8:31,,,FALSE,
S10894,ypsi,normal,6:51,,7:42,7:52,FALSE,
s10894,,normal,7:45,8:31,,,TRUE,lpr
s10894,,normal,8:31,8:31,,,FALSE,koal
s10894,,normal,6:51,8:31,,,FALSE,toro
S11279,angi,normal,6:30,7:09,,,FALSE,
S11279,hkr,normal,6:30,7:09,,,FALSE,
S11279,lady,normal,6:39,7:09,,,FALSE,
S11279,lpr,normal,6:30,7:11,,,FALSE,
S11279,pnda,normal,6:45,7:11,,,FALSE,
S11279,ratc,normal,6:30,7:11,,,FALSE,
S11279,shrm,normal,6:30,7:09,,,FALSE,
S11279,tero,normal,6:34,7:11,,,FALSE,
S11279,tnsl,normal,6:52,7:07,,,FALSE,
S11279,wafl,normal,6:34,7:09,,,FALSE,
s11279.2,,normal,7:25,7:43,,,FALSE,ams
s11279.2,,normal,7:25,7:43,,,FALSE,ypsi
S11322,arro,fat,7:58,8:18,,,FALSE,
