id,session,time,num_hyenas,num_female_ad_lions,num_male_ad_lions,num_other_lions,num_unknown_lions,distance,mobbing,description,notes,hyena_list,Incomplete_CIs
2,t9052,6:36,1,0,0,1,0,5,FALSE,"hyena app carcass and lion, chases hyena 8m",,",bail,",n
3,t9052,6:44,,1,0,0,0,,FALSE,"lion charges group feeding on scrap, one hyena runs 25m w/scrap feeds everyone else in group scatters","9 mins passed since members of group around scrap mentioned, so some may have moved away; at 0635 included JJ, BAL, BAJ, BERN, RCN, WALD, GER, 1 unID. JJ is the hyena that runs 25m w/scrap and feeds",",jj,",y
4,t9052,6:47,,0,0,1,0,,FALSE,lion moves carcass oos into bushes 15m - initial spot,"this could have to do with the hyenas, or it could have to do with the nearby Maasai/cows that the observers don't hear until 0652",,n
5,t9052,6:51,2,1,0,0,0,,FALSE,lion runs from bushes charges hyenas,"no reaction recorded for UD and GER, but wan snf at initial carcass site in next minute. No more said about lions after this; likely are in bushes w/carcass at end",",ud,ger,",y
6,t9106,6:49,6,0,1,0,0,,FALSE,lion charges spot where hyenas are wan/snf,"chance WALD was involved too, but I don't think so because he ran off w/a scrap 3 mins earlier. However, he is present in the following minute with the others listed",",hg,bail,sx,jj,ua,stg,",y
7,t9106,7:01,4,0,1,0,0,,FALSE,lion charges hyenas then return oos to spot where carc is,just now noted that carcass is now oos in bushes 30m - original spot,",jj,ua,hg,bail,",y
8,t9106,7:32,5,0,3,0,0,,FALSE,lions oos bushes hyenas so around scrap spot where carcass originally was,not sure what time other two lions went oos. All other fisi seen leaving or oos.,",ua,sx,bail,jj,hg,",y
9,t9110.2,8:17,2,0,1,0,0,,FALSE,hyenas are scared out of slp crk bushes to the n by lion that walks by on the s side,fisi lv scene 3 min later in separate directions. No note on where lion goes,",jb,fn,",y
10,t9114,7:30,10,1,0,0,0,5,TRUE,brt pt at lion,2nd. no rxn recorded for lioness; seems she just keeps feeding,",dd,lop,sx,jab,ger,jb,dj,who,gil,arse,",n
11,t9114,7:32,10,1,0,0,0,10,TRUE,brt pt at lion,"prob hyenas in previous event line involved here too, but not specified. Does not say brt pt-ing at lioness, but seems so. Almost seems mobbish, but st, no app. Again, no rxn recorded for lioness, prob still fd.",",dd,lop,sx,jab,ger,jb,dj,who,gil,arse,",y
12,t9114,7:34,,1,1,0,0,,FALSE,male lion runs in from E hyenas scatter away from lioness when lion is 30m from her,1st,,y
13,t9114,7:34,,0,1,0,0,,FALSE,2nd male lion flw 1st male at 40m,2nd,,n
14,t9114,7:40,,0,1,0,0,50,FALSE,3rd male lion arr wlk twd hyenas,"BSH and ARSE were fding scraps in 0735 scan, w DD wan/snf by BSH. BSH ARSE prob still fding scraps here. Other fisi ~20m - the 3 listed hyenas at 0735, prob also in general direction of lion's app, incl GER, JJ, WHO, SX, RCN, JB, SEIN",",bsh,arse,dd,",y
15,t9114,7:42,2,0,1,0,0,30,FALSE,st/lk at male lion (app hyenas),"DD, JB, SEIN also st/lk near BSH and ARSE, but BSH and ARSE must have gotten up from being so fd scraps as lion gets closer",",bsh,arse,",n
16,t9114,7:43,5,0,1,0,0,,FALSE,"lion charges bsh (group), scatter and then bsh st/lk 20m - lion",seems lion's main charge was at BSH because next minute he is wan/snf where BSH was feeding. Prob wanted to check out what she had.,",bsh,arse,dd,jb,sein,",y
17,t9114,7:44,2,0,1,0,0,20,FALSE,lion wan/snf where BSH was fding scrap. BSH WHO st 5m apart and both brt whoop,1st,",bsh,who,",n
18,t9114,7:44,,0,2,0,0,,FALSE,2 lions roar,2nd,,n
19,t9114,7:30,,1,0,0,0,,FALSE,lion first seen so possibly feeding on something in tall grass,1st,,n
20,t9114,8:05,,,,0,0,,FALSE,fisi lv scene,"all fisi leaving scene or have left except SEIN, who st/lk in area (but could be about to leave). Lions not mentioned after 0753, and then doesn't say what they were doing",",sein,",n
21,t9117,6:36,5,0,1,0,0,2,FALSE,st/lk or so by lion (fd),"HG and JAB are the only hyenas so, the other 3 are st/lk. DJ 2m W - lion, RCN 3m W - lion, HG 3m E - lion, BAL 4m S - lion, JAB 6m W - lion",",dj,rcn,bal,hg,jab,",n
22,t9117,6:46,2,0,1,0,0,,FALSE,"lion picks up head briefly and hyenas bo 5m. One hyena ret, grab big scrap, runs and fd 30m - lion",1st. RCN is the hyena who returned to steal a big scrap,",bal,rcn,",y
23,t9117,6:46,2,0,1,0,0,,FALSE,lion lv kill. hyenas move in and feed,2nd,",jab,hg,bal,",n
24,t9117,6:49,,0,1,0,0,60,FALSE,lion lv wlk,"""lion wlks S, 60m - scene""",,n
27,t9118,18:11,,0,3,0,0,,FALSE,male lion first seen so 75m - D and two other male lions first seen so 75m - first lion,"1st. Obs followed JAB, BB here",,n
28,t9118,18:11,1,0,1,0,0,10,FALSE,"hyena runs in, whoops, brt lion","2nd. In line directly subsequent, ""BB flw JAB,"" but not noted what behavior BB is displaying",",jab,",n
29,t9118,18:12,6,0,,0,0,,FALSE,"hyenas start whooping, brt for about 10 sec","happens right after WHO arrives, but nothing else specified",,y
30,t9118,18:15,3,0,,0,0,,FALSE,"BB pastes (2X), GIL paste ov, JAB paste ov","this happens 40-50m upstream of the den, and gathering from surrounding notes is about 25-35m - male lion who is 75m - D",",bb,gil,jab,",n
32,t9118,18:37,,0,1,0,0,,FALSE,male lion wlks upstream away from den,"I assume this refers to the lion that was 75m - D. Only time lions mentioned between 1811 and now was at 18:22, when noted that TZ so 30m - male lion. Lions not mentioned any more after this; not sure of their positions at end.",,n
33,t9118,18:50,3,0,,0,0,,FALSE,all else oos,"so various distances from the den (0-80m), doesn't say where lions are, obs lv",",who,dj,bsh,",n
34,t9132.2,7:31,1,1,0,0,0,5,FALSE,lioness arr from bushes by hyena,1st,",baj,",n
35,t9132.2,7:31,1,1,0,0,0,5,FALSE,hyena flws lioness,2nd,",baj,",n
36,t9132.2,7:31,1,1,0,0,0,1,FALSE,hyena runs in front of lioness,3rd. No rxn recorded for lioness,",baj,",n
37,t9132.2,7:31,1,1,0,0,0,5,FALSE,flw lioness,4th,",baj,",n
38,t9132.2,7:38,1,1,0,0,0,5,FALSE,flw lioness (wlk - N),1st,",baj,",n
39,t9132.2,7:38,1,1,0,0,0,5,FALSE,"lioness app hyena (so), gets up and circles lioness",2nd. WHO first seen here,",who,",n
40,t9132.2,7:38,,1,0,0,0,,FALSE,lioness scent marks grnd with back paws,3rd. BAJ has  turned and is walking S now,,y
41,t9132.2,7:38,1,1,0,0,0,10,FALSE,hyena snf scent marked spot behind lioness,4th. BAJ oos,",who,",n
42,t9132.2,7:45,1,1,0,0,0,,FALSE,lioness lv wlk hyena lv wlk,"lioness wlks twd DOC bushes, WHO wlks upstream, so not lv wlking together or anything crazy like that",",who,",y
46,t51068,6:22,0,5,0,0,,,FALSE,lionesses first seen still fd on carcass,,,Y
47,t51068,6:19,3,0,0,0,,,FALSE,3 hyenas whoop,"1st event:a lot of groaning, squealing, and lion noises coming from the bushes",,Y
48,t51068,6:20,3,0,0,0,,,FALSE,3 hyenas whoop,1st,,Y
49,t51068,6:19,,0,0,0,,,FALSE,hyenas go loping into the bushes where lion noises are occuring,2nd event:about 6 hyenas lope in,,Y
50,t51068,6:25,,,,,,,FALSE,alarm rumble heard and hyenas scatter into the bushes,,,Y
51,t51068,6:29,1,1,0,0,,,FALSE,"lioness chase hyena, squeal bo,lioness roar",cam? Was carrying a leg as she was being chased by the lioness (she likely stole this scrap from the lions),,Y
52,t51068,6:32,0,1,0,0,,,FALSE,lioness abandon carcass and roars,"hyenas gain control of carcass, only scraps appear to be left and cam? Is noted to have a leg",,Y
53,t50720,6:47,0,1,0,0,,,FALSE,1st lioness scent mrks abandons topi leg and lvs to S,vgs takes the topi leg,,N
54,t50720,6:57,0,1,0,0,,,FALSE,2nd lioness abandons scrap,ldv gains control of scrap,,N
55,t50720,7:05,0,1,0,0,,,FALSE,3rd lioness abandons scrap,"ldv,bail and wiz get scrap",,N
56,t50720,7:06,0,2,0,0,,,FALSE,2nd and 3rd lionesses lv S,,,N
57,t27189,6:44,2,0,1,0,0,,FALSE,hyenas st/lk twd adult male lion,"unknown distance, hyenas both bloody",",hml,ger,",n
58,t27189,6:59,0,0,1,0,0,,FALSE,lion goes oos into bushes,1st. new location. Moved to 125m S border T,,n
