Session,Date Entered,Who Entered,Date Checked,Who Checked,Lion Interest,Drop From Analysis,Notes,Complete?,Distances only
s0.12,1/17/19,kdsl,,,,FALSE,"lion is injured, not putting weight on his right hind leg",TRUE,TRUE
s0.16,1/17/19,kdsl,,,,FALSE,lion not putting weight on back leg,TRUE,TRUE
s0.21,1/17/19,kdsl,,,,FALSE,,TRUE,TRUE
s10132,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
s10133.1,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
s10407,1/18/19,kdsl,,,,FALSE,ERROR: I think this should be split into two sessions. New session start at 06:51,TRUE,TRUE
S10894,4/17/18,KAK,17-May-18,KDSL,Very,FALSE,Lions are in control of a zebra kill. There is a large group of surrounding hyenas who are clearly disturbed by the lions as evident by the excessive whooping.,TRUE,FALSE
s11114,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
s11187.1,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
S11279,2/28/18,SAM,,,Very,FALSE,"A couple of mobs, lions originally have a wildebeast carcass.

Session may be able to be split as the RA's leave and travel to a new location and has completely differerent hyenas @7:11",TRUE,FALSE
s11279.2,5/1/19,kdsl,,,Very,FALSE,,TRUE,FALSE
s11294,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
S11322,4/17/18,KAK,,,Somewhat,FALSE,Hyenas made a few minor attempts at approaching the lions but were ignored every time so they seemed to lose interest and left one by one.,TRUE,FALSE
s11340,3/18/19,kdsl,,,Somewhat,FALSE,,TRUE,FALSE
s11777,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
s12168,1/17/19,kdsl,,,,FALSE,,TRUE,TRUE
S12196,4/13/18,Sam,,,Not at all,FALSE,"Incomplete CI's
Snap missing from hyena list

Nothing too exciting, just hyena distances.",TRUE,FALSE
s12205,1/17/19,kdsl,,,,FALSE,Totally shit session. Hyenas get much closer to lions during this session as there are tons of mobs but none of the hyenas are Ided.  :-(,TRUE,TRUE
s12223,1/17/19,kdsl,,,,FALSE,,TRUE,TRUE
S1257,4/30/18,KAK,,,Somewhat,FALSE,"Lacking a lot of distances and the ones present don’t show the hyenas in close proximity. No noted reason for the lioness' interest in the hyenas (no food, no stimuli, etc.)",TRUE,FALSE
S13028,4/13/18,Sam,,,Somewhat,FALSE,Only one hyena,TRUE,FALSE
s13075,1/17/19,kdsl,,,,FALSE,,TRUE,TRUE
s13473,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
s13590,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
S13640,4/17/18,KAK,,,Somewhat,FALSE,One hyena steals a scrap but an overwhelming majority fo the group stays over 50m away from the pride.,TRUE,FALSE
s13641,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
s13642,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
s13672,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
s13674,1/18/19,kdsl,,,Over200m,FALSE,ERROR: lion in own session?,TRUE,TRUE
S13695,4/13/18,Sam,,,Not at all,FALSE,Lions do not come into the session untill 19:00 and everyone goes oos except ypsi and tero. Then leaves at 19:11,TRUE,FALSE
s13733,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
S13829,4/30/18,KAK,,,Very,FALSE,Lions in control of a mostly eaten zebra carcass. Hyenas ban together to grab scraps toward the end of the session and then the lions decide to leave.,TRUE,FALSE
S13944,7/5/18,SAM,,,Not at all,FALSE,"Lions on adult zebra carcass- but do not look like they killed it

Lions leave at 6:06",TRUE,FALSE
S13964,4/30/18,KAK,,,Not at all,FALSE,Lions never get within 60m of the hyenas and then the hyenas leave in the middle of the session and reemarge after 10min but remain over 100m away.,TRUE,FALSE
s14315,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
